Div,Date,season,HomeTeam,AwayTeam,HTOa,ATOa,HTAt,ATAt,HTMid,ATMid,HTDef,ATDef,HomeSquad,AwaySquad,HomeAvgAge,AwayAvgAge,HomeMV,AwayMV,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,HxG,AxG,HxA,AxA,HxPTS,AxPTS,HPPDA,APPDA,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,PSCH,PSCD,PSCA
E0,2015-08-22,2015-2016,Norwich,Stoke,74,76,72,77,73,76,71,76,41,31,26,27,116.9,147.0,1,1,D,1,1,D,21,6,7,1,16,5,9,0,4,1,0,0,3.15,0.7,2.02,0.63,2.78,0.15,9.63,10.93,2.3,3.3,3.5,2.35,3.2,3.0,2.4,3.2,2.85,2.34,3.39,3.37,2.3,3.2,3.1,2.38,3.3,3.4,2.15,3.42,3.82
E0,2015-08-22,2015-2016,Sunderland,Swansea,76,77,77,76,76,75,74,76,42,36,26,25,111.25,145.8,1,1,D,0,1,A,10,20,2,9,16,9,3,4,4,2,0,0,0.57,1.56,0.38,1.49,0.61,2.15,10.1,8.58,4.0,3.4,2.1,3.5,3.25,2.1,3.3,3.3,2.1,3.79,3.45,2.14,3.75,3.2,2.1,4.0,3.3,2.1,3.91,3.55,2.07
E0,2015-08-22,2015-2016,West Ham,Bournemouth,76,73,76,74,75,72,75,72,50,49,24,25,201.33,99.9,3,4,A,0,2,A,10,15,4,7,8,11,5,4,0,0,1,0,1.5,2.86,0.42,1.56,0.49,2.34,9.91,10.72,2.38,3.4,3.2,2.35,3.4,3.1,2.2,3.2,3.2,2.43,3.44,3.15,2.4,3.1,3.1,2.38,3.4,3.2,2.64,3.51,2.81
E0,2015-08-23,2015-2016,Everton,Manchester City,78,82,80,84,77,83,77,81,39,38,25,25,249.85,499.35,0,2,A,0,0,D,10,16,1,9,5,7,8,7,0,3,0,0,0.58,1.58,0.38,0.97,0.56,2.2,19.25,9.36,5.0,4.0,1.73,4.4,3.75,1.73,4.7,3.6,1.7,4.85,4.08,1.76,5.0,3.5,1.75,5.0,4.0,1.75,5.47,4.1,1.68
E0,2015-08-23,2015-2016,Watford,Southampton,75,77,75,77,72,77,74,75,39,35,27,25,137.0,225.5,0,0,D,0,0,D,13,14,0,5,10,11,5,2,0,2,0,0,1.18,0.68,0.46,0.66,1.88,0.81,9.05,7.41,2.8,3.3,2.75,2.65,3.25,2.6,2.6,3.2,2.6,2.76,3.36,2.78,2.7,3.1,2.7,2.8,3.3,2.75,2.76,3.34,2.79
E0,2015-08-23,2015-2016,West Bromwich Albion,Chelsea,76,83,77,83,74,82,72,82,35,40,26,24,113.1,553.5,2,3,A,1,3,A,15,15,6,5,9,12,8,7,2,1,0,1,1.43,2.03,0.47,1.35,0.93,1.81,14.82,17.5,6.5,4.0,1.62,5.25,3.8,1.62,5.1,3.6,1.65,6.25,3.93,1.65,6.0,3.4,1.67,6.25,3.9,1.65,7.25,4.12,1.56
E0,2015-08-24,2015-2016,Arsenal,Liverpool,82,80,82,82,80,78,80,77,41,44,24,23,457.85,375.25,0,0,D,0,0,D,19,15,5,8,2,13,7,8,1,4,0,0,1.84,1.29,1.73,1.18,1.8,0.94,5.62,10.43,1.75,4.0,5.0,1.75,3.75,5.0,1.8,3.5,4.2,1.74,4.0,5.12,1.73,3.5,5.0,1.73,4.0,5.2,1.8,4.05,4.6
E0,2015-08-29,2015-2016,Aston Villa,Sunderland,75,76,74,77,74,76,76,74,44,42,24,26,117.95,111.25,2,2,D,2,1,H,21,7,6,3,10,14,5,4,2,1,0,0,2.27,0.37,1.39,0.28,2.72,0.17,8.64,7.35,1.91,3.5,4.75,1.91,3.6,4.4,1.9,3.45,3.8,1.93,3.51,4.62,1.91,3.2,4.5,1.95,3.4,4.6,2.12,3.31,4.07
E0,2015-08-29,2015-2016,Bournemouth,Leicester,73,74,74,74,72,73,72,73,49,35,25,26,99.9,161.1,1,1,D,1,0,H,5,4,2,2,9,19,4,4,2,4,0,0,0.32,0.92,0.04,0.16,0.55,2.12,7.05,5.17,2.2,3.6,3.4,2.2,3.3,3.2,2.2,3.2,3.2,2.15,3.63,3.57,2.2,3.2,3.4,2.15,3.5,3.6,2.06,3.65,3.82
E0,2015-08-29,2015-2016,Chelsea,Crystal Palace,83,75,83,74,82,75,82,76,40,38,24,26,553.5,135.7,1,2,A,0,0,D,26,13,9,6,9,15,7,7,1,1,0,0,1.28,2.19,0.88,1.66,0.75,2.03,8.2,18.5,1.36,5.0,11.0,1.36,4.75,7.75,1.33,4.8,8.3,1.37,5.26,10.17,1.36,4.5,9.5,1.36,5.0,10.5,1.37,5.1,10.31
E0,2015-08-29,2015-2016,Liverpool,West Ham,80,76,82,76,78,75,77,75,44,50,23,24,375.25,201.33,0,3,A,0,2,A,13,12,1,5,17,11,5,7,3,1,1,1,0.56,0.97,0.55,0.67,0.93,1.74,5.97,12.09,1.36,5.5,9.0,1.36,5.0,7.25,1.4,4.4,7.3,1.36,5.28,10.21,1.36,4.5,9.5,1.36,5.4,9.5,1.37,5.28,9.74
E0,2015-08-29,2015-2016,Manchester City,Watford,82,75,84,75,83,72,81,74,38,39,25,27,499.35,137.0,2,0,H,0,0,D,18,7,5,0,9,12,9,3,1,2,0,0,1.53,0.36,1.36,0.12,2.35,0.43,10.14,20.44,1.2,8.0,15.0,1.2,7.0,10.5,1.2,5.8,13.0,1.19,8.0,17.75,1.22,6.0,13.0,1.2,8.0,15.0,1.22,7.05,16.5
E0,2015-08-29,2015-2016,Newcastle United,Arsenal,76,82,77,82,77,80,76,80,42,41,24,24,198.0,457.85,0,1,A,0,0,D,1,22,0,9,15,8,0,9,6,1,1,0,0.03,2.34,0.03,1.59,0.07,2.87,21.82,5.54,6.0,4.2,1.62,5.5,3.75,1.62,5.0,3.9,1.6,6.13,4.21,1.61,6.0,3.6,1.62,6.25,4.2,1.6,5.81,4.48,1.6
E0,2015-08-29,2015-2016,Stoke,West Bromwich Albion,76,76,77,77,76,74,76,72,31,35,27,26,147.0,113.1,0,1,A,0,1,A,13,15,5,5,4,9,6,5,1,4,2,0,1.22,0.88,0.22,0.6,1.74,0.93,23.89,8.97,1.95,3.4,4.5,1.95,3.3,4.0,2.0,3.3,3.6,1.95,3.5,4.5,1.95,3.25,4.2,1.93,3.5,4.6,2.16,3.27,3.98
E0,2015-08-29,2015-2016,Tottenham,Everton,79,78,78,80,77,77,79,77,31,39,23,25,371.85,249.85,0,0,D,0,0,D,20,8,6,3,20,9,6,2,4,1,0,0,2.0,0.69,1.85,0.59,2.34,0.47,7.44,18.54,2.0,3.5,4.2,1.95,3.4,3.75,2.0,3.3,3.6,1.97,3.72,4.09,2.0,3.25,4.0,1.93,3.7,4.2,2.1,3.55,3.81
E0,2015-08-30,2015-2016,Southampton,Norwich,77,74,77,72,77,73,75,71,35,41,25,26,225.5,116.9,3,0,H,1,0,H,23,6,8,1,4,12,6,4,0,0,0,1,2.86,0.64,2.08,0.58,2.82,0.11,10.33,25.58,2.05,3.5,4.0,2.05,3.4,3.5,1.9,3.45,3.8,2.05,3.54,4.0,2.05,3.25,3.8,2.05,3.5,4.0,2.11,3.4,3.95
E0,2015-08-30,2015-2016,Swansea,Manchester United,77,81,76,86,75,81,76,78,36,44,25,23,145.8,439.85,2,1,H,0,0,D,9,11,4,4,6,15,0,1,2,2,0,0,0.97,1.28,0.93,1.23,1.07,1.62,15.17,6.9,3.6,3.3,2.25,3.2,3.2,2.25,3.2,3.2,2.2,3.55,3.45,2.23,3.5,3.0,2.25,3.6,3.4,2.2,3.82,3.41,2.15
E0,2015-09-12,2015-2016,Arsenal,Stoke,82,76,82,77,80,76,80,76,41,31,24,27,457.85,147.0,2,0,H,1,0,H,29,9,12,4,6,13,13,1,1,1,0,0,4.43,0.19,3.39,0.12,2.98,0.01,6.76,15.9,1.29,6.0,12.0,1.3,5.5,9.75,1.3,5.0,9.0,1.28,6.12,13.0,1.3,5.0,11.0,1.3,5.75,12.0,1.3,6.3,11.0
E0,2015-09-12,2015-2016,Crystal Palace,Manchester City,75,82,74,84,75,83,76,81,38,38,26,25,135.7,499.35,0,1,A,0,0,D,10,21,2,7,13,13,4,4,2,3,0,0,0.74,3.09,0.7,1.72,0.12,2.82,8.63,8.58,5.5,4.2,1.67,5.25,3.9,1.67,5.4,3.7,1.6,5.75,4.16,1.65,5.5,3.8,1.62,5.5,4.2,1.65,4.95,3.89,1.78
E0,2015-09-12,2015-2016,Everton,Chelsea,78,83,80,83,77,82,77,82,39,40,25,24,249.85,553.5,3,1,H,2,1,H,14,15,9,2,12,12,7,14,2,2,0,0,1.18,0.66,1.09,0.58,1.86,0.84,15.05,7.62,4.0,3.6,2.0,3.75,3.5,2.0,3.6,3.3,2.0,4.11,3.57,2.01,4.0,3.1,2.05,4.1,3.6,2.0,3.56,3.51,2.2
E0,2015-09-12,2015-2016,Manchester United,Liverpool,81,80,86,82,81,78,78,77,44,44,23,23,439.85,375.25,3,1,H,0,0,D,9,8,3,4,6,11,4,4,1,2,0,0,1.46,1.03,0.61,0.91,1.79,0.89,9.78,14.48,2.0,3.4,4.33,2.0,3.2,4.33,1.85,3.45,4.0,1.94,3.49,4.56,1.95,3.4,4.5,1.95,3.5,4.33,1.94,3.41,4.7
E0,2015-09-12,2015-2016,Norwich,Bournemouth,74,73,72,74,73,72,71,72,41,49,26,25,116.9,99.9,3,1,H,1,0,H,12,7,4,2,10,11,4,4,2,3,0,0,1.33,0.39,1.21,0.39,2.23,0.52,9.96,11.63,2.4,3.4,3.2,2.4,3.4,2.75,2.3,3.3,2.9,2.36,3.48,3.23,2.4,3.1,3.1,2.4,3.4,3.2,2.42,3.48,3.13
E0,2015-09-12,2015-2016,Watford,Swansea,75,77,75,76,72,75,74,76,39,36,27,25,137.0,145.8,1,0,H,0,0,D,17,8,6,3,11,14,1,3,1,1,1,0,1.57,0.5,1.33,0.49,2.28,0.49,11.26,6.7,2.75,3.4,2.75,2.7,3.2,2.7,2.6,3.2,2.6,2.75,3.34,2.8,2.75,3.0,2.75,2.7,3.3,2.88,2.62,3.39,2.92
E0,2015-09-12,2015-2016,West Bromwich Albion,Southampton,76,77,77,77,74,77,72,75,35,35,26,25,113.1,225.5,0,0,D,0,0,D,8,14,1,4,5,5,4,5,1,0,0,0,0.41,1.01,0.36,0.96,0.76,1.9,20.41,8.56,3.2,3.2,2.5,2.8,3.2,2.5,2.65,3.3,2.5,3.21,3.26,2.49,3.1,3.0,2.5,3.3,3.2,2.45,3.25,3.38,2.4
E0,2015-09-13,2015-2016,Leicester,Aston Villa,74,75,74,74,73,74,73,76,35,44,26,24,161.1,117.95,3,2,H,0,1,A,21,11,6,4,8,13,4,5,2,1,0,0,1.35,0.95,1.18,0.89,1.67,1.03,7.15,8.41,1.91,3.75,4.33,1.91,3.4,4.0,1.85,3.45,4.0,1.86,3.74,4.62,1.91,3.3,4.33,1.87,3.7,4.6,1.88,3.78,4.47
E0,2015-09-13,2015-2016,Sunderland,Tottenham,76,79,77,78,76,77,74,79,42,31,26,23,111.25,371.85,0,1,A,0,0,D,12,15,2,4,11,12,6,8,2,1,0,0,1.04,1.46,0.98,1.38,1.02,1.68,12.06,5.17,4.33,3.6,1.95,3.75,3.4,1.95,3.6,3.3,2.0,4.32,3.65,1.94,4.2,3.25,1.95,4.4,3.6,1.93,4.26,3.69,1.94
E0,2015-09-14,2015-2016,West Ham,Newcastle United,76,76,76,77,75,77,75,76,50,42,24,24,201.33,198.0,2,0,H,1,0,H,17,14,3,4,8,11,6,7,0,2,0,0,1.71,0.72,1.21,0.55,2.2,0.57,11.72,8.22,2.25,3.5,3.4,2.25,3.4,3.0,2.1,3.3,3.3,2.23,3.53,3.48,2.25,3.1,3.4,2.25,3.5,3.4,2.09,3.63,3.77
E0,2015-09-19,2015-2016,Aston Villa,West Bromwich Albion,75,76,74,77,74,74,76,72,44,35,24,26,117.95,113.1,0,1,A,0,1,A,13,11,3,6,10,11,2,7,2,3,0,0,0.88,0.63,0.56,0.64,1.56,1.07,6.12,8.41,2.3,3.25,3.5,2.3,3.1,3.25,2.3,3.2,3.0,2.32,3.23,3.57,2.3,3.2,3.2,2.3,3.2,3.6,2.4,3.18,3.46
E0,2015-09-19,2015-2016,Bournemouth,Sunderland,73,76,74,77,72,76,72,74,49,42,25,26,99.9,111.25,2,0,H,2,0,H,15,9,5,2,14,15,7,3,2,4,0,1,0.64,0.85,0.44,0.45,1.08,1.56,8.52,9.27,1.7,4.0,5.5,1.72,3.7,4.6,1.75,3.5,4.5,1.71,3.99,5.35,1.73,3.6,5.0,1.7,3.9,5.5,1.57,4.75,5.75
E0,2015-09-19,2015-2016,Chelsea,Arsenal,83,82,83,82,82,80,82,80,40,41,24,24,553.5,457.85,2,0,H,0,0,D,22,9,7,2,12,11,5,5,3,1,0,2,2.07,0.78,1.93,0.19,2.36,0.45,6.09,13.18,2.45,3.5,3.0,2.4,3.5,3.0,2.3,3.2,3.0,2.45,3.51,3.06,2.4,3.1,3.1,2.4,3.5,3.1,2.65,3.46,2.82
